Facility ID,facility_name,state,total_discharges,n_conditions_reported,composite_err,reliability_tier,City/Town,ZIP Code,County/Parish,Hospital Type,Hospital Ownership,Emergency Services,FIPS,Median_HH_Income,Median_HH_Income_MOE,Total_Population,Pop_White_NonHispanic,Pop_Black,Pop_AIAN,Pop_Hispanic,ownership_bucket
10001,SOUTHEAST HEALTH MEDICAL CENTER,AL,1692.0,5,0.9899,high (4-6 conditions),DOTHAN,36301.0,HOUSTON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,01069,57531,1310,107628,68699,29163,210,4680,Government
10005,MARSHALL MEDICAL CENTERS,AL,588.0,3,0.9237,medium (2-3 conditions),BOAZ,35957.0,MARSHALL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,01095,60946,2309,98712,76318,2480,118,16360,Government
10006,NORTH ALABAMA MEDICAL CENTER,AL,1599.0,4,0.9815,high (4-6 conditions),FLORENCE,35630.0,LAUDERDALE,Acute Care Hospitals,Proprietary,Yes,01077,59082,3460,95037,78618,9058,168,3163,For-profit
10007,MIZELL MEMORIAL HOSPITAL,AL,123.0,2,1.0432,medium (2-3 conditions),OPP,36467.0,COVINGTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,01039,50886,4230,37647,31061,4413,70,727,Nonprofit
10011,ST. VINCENT'S EAST,AL,787.0,5,1.0214,high (4-6 conditions),BIRMINGHAM,35235.0,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,01073,64589,1226,669744,321127,283468,469,35103,Nonprofit
10012,DEKALB REGIONAL MEDICAL CENTER,AL,240.0,2,1.0465,medium (2-3 conditions),FORT PAYNE,35968.0,DE KALB,Acute Care Hospitals,Proprietary,Yes,01049,51149,2343,71946,55856,923,258,11987,For-profit
10016,SHELBY BAPTIST MEDICAL CENTER,AL,428.0,2,1.0174,medium (2-3 conditions),ALABASTER,35007.0,SHELBY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,01117,93543,3051,226955,167841,29721,368,16709,Nonprofit
10019,HELEN KELLER HOSPITAL,AL,659.0,3,0.9741,medium (2-3 conditions),SHEFFIELD,35660.0,COLBERT,Acute Care Hospitals,Government - Hospital District or Authority,Yes,01033,56736,4001,57648,44648,9103,85,1890,Government
10023,BAPTIST MEDICAL CENTER SOUTH,AL,701.0,4,1.0418,high (4-6 conditions),MONTGOMERY,36116.0,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,01101,58153,2052,227197,69425,133110,183,10796,Government
10024,JACKSON HOSPITAL & CLINIC INC,AL,809.0,4,1.0094,high (4-6 conditions),MONTGOMERY,36106.0,MONTGOMERY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,01101,58153,2052,227197,69425,133110,183,10796,Nonprofit
10029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,956.0,4,0.9767,high (4-6 conditions),OPELIKA,36801.0,LEE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,01081,61123,3017,177663,117016,38972,130,9335,Government
10033,UNIVERSITY OF ALABAMA HOSPITAL,AL,1803.0,5,1.0988,high (4-6 conditions),BIRMINGHAM,35233.0,JEFFERSON,Acute Care Hospitals,Government - State,Yes,01073,64589,1226,669744,321127,283468,469,35103,Government
10035,CULLMAN REGIONAL MEDICAL CENTER,AL,930.0,3,0.9941,medium (2-3 conditions),CULLMAN,35058.0,CULLMAN,Acute Care Hospitals,Government - Hospital District or Authority,Yes,01043,60916,2736,89463,80673,957,189,4346,Government
10036,ANDALUSIA HEALTH,AL,271.0,2,0.9935,medium (2-3 conditions),ANDALUSIA,36420.0,COVINGTON,Acute Care Hospitals,Proprietary,Yes,01039,50886,4230,37647,31061,4413,70,727,For-profit
10039,HUNTSVILLE HOSPITAL,AL,3786.0,5,0.9431,high (4-6 conditions),HUNTSVILLE,35801.0,MADISON,Acute Care Hospitals,Government - Hospital District or Authority,Yes,01089,83528,1460,397135,247502,95160,1635,25948,Government
10040,GADSDEN REGIONAL MEDICAL CENTER,AL,613.0,4,1.0029,high (4-6 conditions),GADSDEN,35903.0,ETOWAH,Acute Care Hospitals,Proprietary,Yes,01055,53070,1864,103208,78922,15487,115,5134,For-profit
